env,label,metric,phase,point,run_dir,update,value
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,124,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.17437894642353058
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,125,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.15787293016910553
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,126,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.21936661005020142
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,127,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.165168896317482
reacher,reacher_seed1,model/total_loss,world_model,1,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,1,11.85614013671875
reacher,reacher_seed1,model/total_loss,world_model,2,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,250,0.7057527899742126
reacher,reacher_seed1,model/total_loss,world_model,3,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,500,0.4502341151237488
reacher,reacher_seed1,model/total_loss,world_model,4,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,750,0.39751502871513367
reacher,reacher_seed1,model/total_loss,world_model,5,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,1000,0.3182699978351593
reacher,reacher_seed1,model/total_loss,world_model,6,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,1250,0.28643733263015747
reacher,reacher_seed1,model/total_loss,world_model,7,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,1500,0.23592649400234222
reacher,reacher_seed1,model/total_loss,world_model,8,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,1750,0.2037593424320221
reacher,reacher_seed1,model/total_loss,world_model,9,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,2000,0.22204233705997467
reacher,reacher_seed1,model/total_loss,world_model,10,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,2250,0.19774559140205383
reacher,reacher_seed1,model/total_loss,world_model,11,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,2500,0.19160790741443634
reacher,reacher_seed1,model/total_loss,world_model,12,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,2750,0.18993446230888367
reacher,reacher_seed1,model/total_loss,world_model,13,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,3000,0.16337096691131592
reacher,reacher_seed1,model/total_loss,world_model,14,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,3250,0.172452911734581
reacher,reacher_seed1,model/total_loss,world_model,15,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,3500,0.1614122837781906
reacher,reacher_seed1,model/total_loss,world_model,16,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z,3750,0.17536798119544983
